date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:58	1030/1030	---M--	200	added ('OK')	image/svg+xml	etag:%2266d69591-406%22	https://demo.invee.net/images/elegant-1/icons/Icon-FB.svg	C:/My%20Web%20Sites/wedding/demo.invee.net/images/elegant-1/icons/Icon-FB.svg	(from https://demo.invee.net/?template=elegant-1)
15:14:58	3375/3375	---M--	200	added ('OK')	image/svg+xml	etag:%2266d69591-d2f%22	https://demo.invee.net/images/elegant-1/icons/Icon-IG.svg	C:/My%20Web%20Sites/wedding/demo.invee.net/images/elegant-1/icons/Icon-IG.svg	(from https://demo.invee.net/?template=elegant-1)
15:14:58	3247/3247	---M--	200	added ('OK')	image/svg+xml	etag:%2266d69591-caf%22	https://demo.invee.net/images/elegant-1/icons/Icon-Tiktok.svg	C:/My%20Web%20Sites/wedding/demo.invee.net/images/elegant-1/icons/Icon-Tiktok.svg	(from https://demo.invee.net/?template=elegant-1)
15:14:58	1849/1849	---M--	200	added ('OK')	image/svg+xml	etag:%2266d69591-739%22	https://demo.invee.net/images/elegant-1/icons/Icon-Twitter.svg	C:/My%20Web%20Sites/wedding/demo.invee.net/images/elegant-1/icons/Icon-Twitter.svg	(from https://demo.invee.net/?template=elegant-1)
15:14:58	1323/1323	---M--	200	added ('OK')	image/svg+xml	etag:%2266d69591-52b%22	https://demo.invee.net/images/elegant-1/icons/Icon-Youtube.svg	C:/My%20Web%20Sites/wedding/demo.invee.net/images/elegant-1/icons/Icon-Youtube.svg	(from https://demo.invee.net/?template=elegant-1)
15:14:59	317165/317165	---M--	200	added ('OK')	image/png	etag:%2266d69591-4d6ed%22	https://demo.invee.net/images/elegant-1/bride/woman.png	C:/My%20Web%20Sites/wedding/demo.invee.net/images/elegant-1/bride/woman.png	(from https://demo.invee.net/?template=elegant-1)
15:14:59	3985/3985	---M--	200	added ('OK')	application/javascript	etag:%2266d69594-f91%22	https://demo.invee.net/timezz.js	C:/My%20Web%20Sites/wedding/demo.invee.net/timezz.js	(from https://demo.invee.net/?template=elegant-1)
15:14:59	2907/2907	---M--	200	added ('OK')	image/svg+xml	etag:%2266d69591-b5b%22	https://demo.invee.net/images/elegant-1/icons/marker-icon.svg	C:/My%20Web%20Sites/wedding/demo.invee.net/images/elegant-1/icons/marker-icon.svg	(from https://demo.invee.net/?template=elegant-1)
15:14:59	4494/4494	---M--	200	added ('OK')	image/svg+xml	etag:%2266d69591-118e%22	https://demo.invee.net/images/elegant-1/icons/date-icon.svg	C:/My%20Web%20Sites/wedding/demo.invee.net/images/elegant-1/icons/date-icon.svg	(from https://demo.invee.net/?template=elegant-1)
15:14:59	1581/1581	---M--	200	added ('OK')	image/svg+xml	etag:%2266d69591-62d%22	https://demo.invee.net/images/elegant-1/icons/live-icon.svg	C:/My%20Web%20Sites/wedding/demo.invee.net/images/elegant-1/icons/live-icon.svg	(from https://demo.invee.net/?template=elegant-1)
15:15:00	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%225f1f42a2-882%22	https://cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.9.3/tiny-slider.css	C:/My%20Web%20Sites/wedding/cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.9.3/tiny-slider.css	(from https://demo.invee.net/?template=elegant-1)
15:15:00	20972/20972	---M-Z	200	added ('OK')	text/css	etag:%225f85ee4b-51ec%22	https://cdnjs.cloudflare.com/ajax/libs/lightgallery-js/1.4.0/css/lightgallery.min.css	C:/My%20Web%20Sites/wedding/cdnjs.cloudflare.com/ajax/libs/lightgallery-js/1.4.0/css/lightgallery.min.css	(from https://demo.invee.net/?template=elegant-1)
15:15:00	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Sep%202024%2008:15:00%20GMT	https://demo.invee.net/images/elegant-1/gallery/0.png	C:/My%20Web%20Sites/wedding/demo.invee.net/images/elegant-1/gallery/0.png	(from https://demo.invee.net/?template=elegant-1)
